File: filtered_vcf/22D00001.stats.txt, Number of SNPs: 9585887
File: filtered_vcf/22D00002.stats.txt, Number of SNPs: 9546126
File: filtered_vcf/22D00003.stats.txt, Number of SNPs: 9582282
File: filtered_vcf/22D00004.stats.txt, Number of SNPs: 9518602
File: filtered_vcf/22D00006.stats.txt, Number of SNPs: 9570275
File: filtered_vcf/22D00007.stats.txt, Number of SNPs: 9548796
File: filtered_vcf/22D00008.stats.txt, Number of SNPs: 9551963
File: filtered_vcf/22D00009.stats.txt, Number of SNPs: 9579821
File: filtered_vcf/22D00010.stats.txt, Number of SNPs: 9567135
File: filtered_vcf/22D00011.stats.txt, Number of SNPs: 9575881
File: filtered_vcf/22D00012.stats.txt, Number of SNPs: 9567632
File: filtered_vcf/22D00013.stats.txt, Number of SNPs: 9567345
File: filtered_vcf/22D00014.stats.txt, Number of SNPs: 9550949
File: filtered_vcf/22D00015.stats.txt, Number of SNPs: 9541160
File: filtered_vcf/22D00016.stats.txt, Number of SNPs: 9570524
File: filtered_vcf/22D00017.stats.txt, Number of SNPs: 9575915
File: filtered_vcf/22D00018.stats.txt, Number of SNPs: 9570830
File: filtered_vcf/22D00019.stats.txt, Number of SNPs: 9547319
File: filtered_vcf/22D00020.stats.txt, Number of SNPs: 9576043
File: filtered_vcf/22D00021.stats.txt, Number of SNPs: 9553933
File: filtered_vcf/22D00022.stats.txt, Number of SNPs: 9575072
File: filtered_vcf/22D00023.stats.txt, Number of SNPs: 9555423
File: filtered_vcf/22D00024.stats.txt, Number of SNPs: 9574190
File: filtered_vcf/22D00025.stats.txt, Number of SNPs: 9574621
File: filtered_vcf/22D00026.stats.txt, Number of SNPs: 9552330
File: filtered_vcf/22D00027.stats.txt, Number of SNPs: 9562542
File: filtered_vcf/22D00028.stats.txt, Number of SNPs: 9576190
File: filtered_vcf/22D00030.stats.txt, Number of SNPs: 9584780
File: filtered_vcf/22D00031.stats.txt, Number of SNPs: 9571620
File: filtered_vcf/22D00033.stats.txt, Number of SNPs: 9575790
File: filtered_vcf/22D00034.stats.txt, Number of SNPs: 9575555
File: filtered_vcf/22D00036.stats.txt, Number of SNPs: 9563830
File: filtered_vcf/22D00037.stats.txt, Number of SNPs: 8210159
File: filtered_vcf/22D00038.stats.txt, Number of SNPs: 9564977
File: filtered_vcf/22D00040.stats.txt, Number of SNPs: 9545976
File: filtered_vcf/22D00041.stats.txt, Number of SNPs: 9555478
File: filtered_vcf/22D00042.stats.txt, Number of SNPs: 9566195
File: filtered_vcf/22D00043.stats.txt, Number of SNPs: 9578088
File: filtered_vcf/22D00044.stats.txt, Number of SNPs: 9585253
File: filtered_vcf/22D00045.stats.txt, Number of SNPs: 9571092
File: filtered_vcf/22D00047.stats.txt, Number of SNPs: 9538062
File: filtered_vcf/22D00048.stats.txt, Number of SNPs: 9552709
File: filtered_vcf/22D00049.stats.txt, Number of SNPs: 9545294
File: filtered_vcf/22D00050.stats.txt, Number of SNPs: 9547320
File: filtered_vcf/22D00051.stats.txt, Number of SNPs: 9442546
File: filtered_vcf/22D00052.stats.txt, Number of SNPs: 9570380
File: filtered_vcf/22D00053.stats.txt, Number of SNPs: 9548037
File: filtered_vcf/22D00054.stats.txt, Number of SNPs: 9563346
File: filtered_vcf/22D00055.stats.txt, Number of SNPs: 9545736
File: filtered_vcf/22D00056.stats.txt, Number of SNPs: 9583765
File: filtered_vcf/22D00057.stats.txt, Number of SNPs: 9522661
File: filtered_vcf/22D00058.stats.txt, Number of SNPs: 9554608
File: filtered_vcf/22D00059.stats.txt, Number of SNPs: 9571528
File: filtered_vcf/22D00060.stats.txt, Number of SNPs: 9574299
File: filtered_vcf/22D00061.stats.txt, Number of SNPs: 9569280
File: filtered_vcf/22D00062.stats.txt, Number of SNPs: 9549053
File: filtered_vcf/22D00063.stats.txt, Number of SNPs: 9559549
File: filtered_vcf/22D00064.stats.txt, Number of SNPs: 9568050
File: filtered_vcf/22D00065.stats.txt, Number of SNPs: 9597841
File: filtered_vcf/22D00066.stats.txt, Number of SNPs: 9563624
File: filtered_vcf/22D00067.stats.txt, Number of SNPs: 9563739
File: filtered_vcf/22D00068.stats.txt, Number of SNPs: 9582478
File: filtered_vcf/22D00069.stats.txt, Number of SNPs: 9557591
File: filtered_vcf/22D00070.stats.txt, Number of SNPs: 9569449
File: filtered_vcf/22D00074.stats.txt, Number of SNPs: 9600647
File: filtered_vcf/22D00075.stats.txt, Number of SNPs: 9574074
File: filtered_vcf/22D00076.stats.txt, Number of SNPs: 9573497
File: filtered_vcf/22D00078.stats.txt, Number of SNPs: 9546014
File: filtered_vcf/22D00080.stats.txt, Number of SNPs: 9578446
File: filtered_vcf/22D00082.stats.txt, Number of SNPs: 9550601
File: filtered_vcf/22D00084.stats.txt, Number of SNPs: 9548506
File: filtered_vcf/22D00085.stats.txt, Number of SNPs: 5007985
File: filtered_vcf/22D00086.stats.txt, Number of SNPs: 9558639
File: filtered_vcf/22D00089.stats.txt, Number of SNPs: 9581857
File: filtered_vcf/22D00092.stats.txt, Number of SNPs: 9581598
File: filtered_vcf/22D00094.stats.txt, Number of SNPs: 9560296
File: filtered_vcf/22D00096.stats.txt, Number of SNPs: 9581022
File: filtered_vcf/22D00097.stats.txt, Number of SNPs: 9579806
File: filtered_vcf/22D00098.stats.txt, Number of SNPs: 9578426
Average Number: 9489968.94
95% Confidence Interval: [9374571.02, 9605366.86]
